Sprint Name,Test Case Title,Test Assignee,Description,Mode,Priority,Type,Precondition,Test Data,Steps,Expected Result,Actual Result,Tags
HeySales ManageCourses> Due date and reminder notifications,TC0001_ Check creating a new Learning,arjun@paperflite.com,Validate Admins and content publishers should be able to create a Learning,Manual,Medium,Functional,User should have admin or Content publisher permission,NA,"1. Log in as admin / content publisher
2. Navigate to hey sales module
3. Click on Manage Course tab
4. Click on Create New Course Button","1. Admins should be able to login in successfully
2. Hey sales module should render successfully
3. Manage Courses screen should render successfully
4. Clicking on the Create new course button, should create an empty course with Untitled course as name and empty banner","Clicking on the Create new course button, creates an empty course with Untitled course as name and empty banner",
HeySales ManageCourses> Due date and reminder notifications,TC0002_ Check publishing the course,arjun@paperflite.com,Validatte Admins should be able to publish the course,Manual,Medium,Functional,Course should have been created.,NA,"1. Add a banner
2. Add desciption
3. Add Lessons and Assessments
4. Add skills
5. Click on save and Publish","1. Admin should be able to add a banner to the course
2. Admin should be able to add description to the course
3. Admin should be able to add Lessons and assessments to the course
4. Admin should be able to add Skills to the course
5. Admin should be able to save the course and Publish it",Admin is able to save the course and Publish it,
HeySales ManageCourses> Due date and reminder notifications,TC0003_ Check adding learners to the course [with specific due date],arjun@paperflite.com,Validate Admins should be able to add learner to the created course [with specific due date ],Manual,Medium,Functional,Admin should create a course and publish it,NA,"1. Click on Add Learners button
2. Check the new Due date option
3. Click on the Due date option, Select a date from the date picker
4. Assign a learner","1. Add Learner slider should be displayed
2. In the slider above the add and cancel buttons, Due data with pick a date should be displayed
3. Clicking on the Due date option should brign a date picker, and admins should be able to choose any date
4. Admin should be able to assign a learner with the selected due date",Admin is able to assign a learner with the selected due date,
HeySales ManageCourses> Due date and reminder notifications,TC0004_ Check adding learners to the course [with relative due date] [to the same course as TC0003 but to a different learner],arjun@paperflite.com,Validate Admins should be able to add learner to the created course [with relative due date],Manual,Medium,Functional,Admin should create a course and publish it,NA,"1. Click on Add Learners button
2. Check the new Due date option
3. Click on the Due date option, Select time from assignment in the drop down of the date picker
4. Select one option from the list
5. Assign a learner","1. Add Learner slider should be displayed
2. In the slider above the add and cancel buttons, Due data with pick a date should be displayed
3. Clicking on the Due date option should brign a date picker, and admins should be able select time from assignment in the drop down
4. The drop down should have 2, 3, 7, 14 days, a month and 2 months as list values and admin should be able to choose any one of the list value
5. Admin should be able to assign a learner with the selected due date",Admin is able to assign a learner with the selected due date,
HeySales ManageCourses> Due date and reminder notifications,TC0005_ Check adding multiple learners in one go [Choose the learners first then select the due date],arjun@paperflite.com,"Validate Choosing multiple learners and assiging the due date, all the learners should be assigned with same due date",Manual,Medium,Functional,Admin should create a course add multiple learners and publish it,NA,"1. Create a new podcast
2. Click on add learners
3. Choose 5 learners
4. Now click on Pick a date
5. Choose a date
6. Click on add","1. Admin should be able to create a new podcast
2. Add Learner slider should be displayed
3. Admin should be able to choose 5 Learners
4. Clicking on the pick a date should open the data picker
5. Admin should be able to choose a date
6. All the selected learners should be added with the same due date","Choosing multiple learners and assiging the due date, all the learners are assigned with same due date",
HeySales ManageCourses> Due date and reminder notifications,TC0006_ Check adding due date first then choose the learners,arjun@paperflite.com,"Validate Admin should be able to choose the date first and then select the learners, the assigned learners should follow the choosen due date",Manual,Medium,Functional,Admin should create a course and publish it and then add learners to the course,NA,"1. Create a new Simulation
2. Click on add learners
3. Now click on Pick a date
4. Choose a date
5. Choose 5 learners
6. Click on add","1. Admin should be able to create a new podcast
2. Add Learner slider should be displayed
3. Clicking on the pick a date should open the data picker
4. Admin should be able to choose a date
5. Admin should be able to choose 5 Learners
6. All the selected learners should be added with the same due date","Admin is able to choose the date first and then select the learners, the assigned learners follows the choosen due date",
HeySales ManageCourses> Due date and reminder notifications,TC0007_ Check the time field in the due date,arjun@paperflite.com,"Validate When choosing a date from the date picker, Time should be by default 12:00AM and admin should not be able to change the time",Manual,Medium,Functional,Admin should create a course and publish it,NA,"1. Create a new Course
2. Click on add learners
3. Choose 5 learners
4. Now click on Pick a date
5. Choose a date
6. Click on add","1. Admin should be able to create a new podcast
2. Add Learner slider should be displayed
3. Admin should be able to choose 5 Learners
4. Clicking on the pick a date should open the data picker
5. Admin should be able to choose a date and a default time of 12:00AM should be also added and user should not be able to change the time
6. All the selected learners should be added with the same due date and time",Admin is able to choose a date and a default time of 12:00AM is also added and user is not able to change the time,
HeySales ManageCourses> Due date and reminder notifications,TC0008_ Check adding learners to the course without any due date [to the same course as TC0003 but to a different learner],arjun@paperflite.com,Validate Admins should be able to add learner to the created course,Manual,Medium,Functional,Admin should create a course and publish it,NA,"1. Click on Add Learners button
2. Assign a learner
3. Click on add button","1. Add Learner slider should be displayed
2. Admin should be able to add learners to the course
3. Clicking on the add button should assign the learner without any due date",Clicking on the add button assigns the learner without any due date,
HeySales ManageCourses> Due date and reminder notifications,TC0009_ Check having leraners with different type of due dates in same course,arjun@paperflite.com,"Valdiate Admins should be able to add different type of due date to different learners in the same course. Eg: Learner A with specific due date, Learner B with relative due date and Learner c with no due date",Manual,Medium,Functional,Admin should create a course and publish it,NA,"1. Log in as admin / content publisher
2. Navigate to hey sales module
3. Click on Manage Course tab
4. Click on Create New Course Button 
5. Click on save and Publish
6. Click on Add Learners button
7. Add a learner with specific due date
8. Add a learner with relative due date
9. Add a learner with no due date
10. Click on add button","1. Admins should be able to login in successfully
2. Hey sales module should render successfully
3. Manage Courses screen should render successfully
4. Clicking on the Create new course button, should create an new course
5. Admin should be able to save the course and Publish it
6. Add Learner slider should be displayed
6. Admin should be able to choose learner A and set the due date as specific
8. Admin should be able to choose learner B and set the due date as relative
9. Admin should be able to choose learner C with no due date
10. Clicking on the add button should assign the learner with their respective parameters","Admins are able to add different type of due to different learners in the same course. Eg: Learner A with specific due date, Learner B with relative due date and Learner c with no due date",
HeySales ManageCourses> Due date and reminder notifications,TC0010_ Check adding leraners with different type of due dates in same course before publishing,arjun@paperflite.com,"Valdiate Admins should be able to add different type of due date to different learners in the same course. Eg: Learner A with specific due date, Learner B with relative due date and Learner c with no due date and then successfully publish the course",Manual,Medium,Functional,Admin should create a course and publish it,NA,"1. Log in as admin / content publisher
2. Navigate to hey sales module
3. Click on Manage Course tab
4. Click on Create New Course Button
5. Click on Add Learners button
6. Add a learner with specific due date
7. Add a learner with relative due date
8. Add a learner with no due date
9. Click on add button
10. Click on save and Publish","1. Admins should be able to login in successfully
2. Hey sales module should render successfully
3. Manage Courses screen should render successfully
4. Clicking on the Create new course button, should create an new course
5. Add Learner slider should be displayed
6. Admin should be able to choose learner A and set the due date as specific
7. Admin should be able to choose learner B and set the due date as relative
8. Admin should be able to choose learner C with no due date
9. Clicking on the add button should assign the learner with their respective parameters
10. Admin should be able to save the course and Publish it","Admins are able to add different type of due to different learners in the same course. Eg: Learner A with specific due date, Learner B with relative due date and Learner c with no due date and then successfully publish the course",
