Sprint Name,Test Case Title,Test Assignee,Description,Mode,Priority,Type,Precondition,Test Data,Steps,Expected Result,Actual Result,Tags
HeySales Studio> Simulations Reports,TC0001_Check the completion rate card in the simulation,arjun@paperflite.com,"Validate For admins and content publishers the completion card should be displayed in the top right of the simulation, and the completion percentage should be calculated based on total number of learners assigned versus total number learners completed the simulation",Manual,Medium,Functional,The simulation should be assigned to x number of learners,NA,"1. Log in as admin / Content publisher
2. Navigate to Hey sales module
3. Open any simulation
4. Check the Completion rate card","1. User should be able to login in successfully
2. Hey sales module should render successfully
3. User should be able to open / create any simulation
4. The completion rate card should be displayed with respection percentage","For admins and content publishers the completion card is displayed in the top right of the simulation, and the completion percentage is calculated based on total number of learners assigned versus total number learners completed the simulation",
HeySales Studio> Simulations Reports,TC0002_Check the completion rate card if the completion is 0%,arjun@paperflite.com,Validate When no learners have completed the call or not started the call the percentage should be 0 and the sub text should be 0 out of x number of learners have completed,Manual,Medium,Functional,The simulation should be assigned to 10 number of learners and no learner should complete the call,NA,"1. Create a simulation
2. Assign the simulation to 10 learners
3. Check the completion rate card","1. Admin / content publisher should be able to create a simulation
2. User should be able to assign 10 learners to the silumation
3. If no user has completed the call, on the completion card the percentage should be 0 and the sub text should read 0 of 10 learners have completed",When no learners have completed the call or not started the call the percentage is 0 and the sub text is 0 out of x number of learners have completed,
HeySales Studio> Simulations Reports,TC0003_Check the completion rate card if the completion is X%,arjun@paperflite.com,"Validate When a certain number of learners have complete the call [eg: 2 learners], the percentage should be updated respectively. And the sub text should read X out of x number of learners have completed",Manual,Medium,Functional,The simulation should be assigned to 10 learners and 2 learner should complete the call,NA,"1. Login as a learner A
2. Open My courses
3. Start the simulation and complete
4. Repate the same for Learner B
5. Now Login as admin
6. Check the completion card in admin view","1. User should be able to login successfully
2. User should be able to open My courses in hey sales and locate the assigned simulation
3. User should be able to start the simulation and successfully complete it with respective score
4. User should be able to login as Learner B and should be able to start a call and successfully complete it
5. Admin user should be able to login successfully
6. In the completion card, the percenatge should be 20% and and the sub text should read 2 of 10 learners have completed","When a certain number of learners have complete the call [eg: 2 learners], the percentage is updated respectively. And the sub text reads X out of x number of learners have completed",
HeySales Studio> Simulations Reports,TC0004_Check adding new learner to the simulation and validate the count updation in sub text of the completion rate card,arjun@paperflite.com,"Validate When new list of learners are added to the simulation or new learners enrolled themselves , the count of the learner and the percentage in the sub text should be updated respectively",Manual,Medium,Functional,The simulation should be assigned to 10 learners and add 2 new learner,NA,"1. Open a simulation with 10 assigned learners / Enroll as 2 learners
2. Check the completion card 
3. Assign 2 new learners
4. Check the completion card","1. User should be able to open the simulation
2. In the completion card number of total number learners count should be 10 and the completion rate should be X
3. User should be able to assign 2 new learners to the simulation
4. In the completion card number of total number learners count should be 12 and the completion rate should be updated respectively","When new list of learners are added to the simulation or new learners enrolled themselves , the count of the learner and the percentage in the sub text is updated respectively",
HeySales Studio> Simulations Reports,TC0005_Check the completion rate card in a newly created simulation with no completion and no users assigned,arjun@paperflite.com,"Valdiate For a newly created simulation with no completion and no users assigned, the completion rate card should display 0% and subtext as 0 of 0 learners have completed",Manual,Medium,Functional,A new simulaiton with 0 learners assigned,NA,"1. Log in as admin / Content publisher
2. Navigate to Hey sales module
3. Create a simulation
4. Check the Completion rate card","1. User should be able to login in successfully
2. Hey sales module should render successfully
3. User should be able to create a simulation
4. The completion rate card should be displayed 0% and sub text as 0 of 0 learners have completed","For a newly created simulation with no completion and no users assigned, the completion rate card displays 0% and subtext as 0 of 0 learners have completed",
HeySales Studio> Simulations Reports,TC0006_Check any way of completing a simulation updates the percentage ,arjun@paperflite.com,Validate If a learner ends the simulation call the percentage in the completion rate card should be updated,Manual,Medium,Functional,2 learners to complete the simulation in two different wats ,NA,"1. Assign a simulatio to 2 learners
2. Log in as User A
3. Start the simulation and end it within 2 mins
4. Login as user B
5. Complete the full simulation","1. Admin should be able to assign the simulation to 2 learners
2. User should be able to Login as User A
3. User A should be able to start the simulation and should be able to end it with in 2 mins
4. User should be able to login as user B
5. User B should be able to complete the full simulation",If a learner ends the simulation call the percentage in the completion rate card is updated,
HeySales Studio> Simulations Reports,TC0007_Check the UI of the completion rate card,arjun@paperflite.com,Validate The UI and Font should follow the design and the percentage should be in primary color,Manual,Medium,Functional,The simulation should be assigned to x number of learners and completed by x number of learners,NA,"1. Log in as admin / Content publisher
2. Navigate to Hey sales module
3. Open any simulation
4. Check the Completion rate card","1. User should be able to login in successfully
2. Hey sales module should render successfully
3. User should be able to open any simulation
4. The UI and Font should follow the design and the percentage should be in primary color",The UI and Font follows the design and the percentage is in primary color,
HeySales Studio> Simulations Reports,TC0008_Check the avg score card in the simulation,arjun@paperflite.com,"Validate For admins and content publishers the avg score card should be displayed in the top right of the simulation, and the avg score among the learners should be calculated based on total number of learners assigned versus total number learners completions including any number of attempts by a specific learner",Manual,Medium,Functional,The simulation should be completed to x number of learners,NA,"1. Log in as admin / Content publisher
2. Navigate to Hey sales module
3. Open any simulation
4. Check the Completion rate card","1. User should be able to login in successfully
2. Hey sales module should render successfully
3. User should be able to open / create any simulation
4. The avg score card should be displayed with respection score","For admins and content publishers the avg score card is displayed in the top right of the simulation, and the avg score among the learners are calculated based on total number of learners assigned versus total number learners completions including any number of attempts by a specific learner",
HeySales Studio> Simulations Reports,TC0009_Check the avg score card if no learner has completed the simulation,arjun@paperflite.com,Validate When no learners have completed the call or not started the call the Avg score card should display NA,Manual,Medium,Functional,The simulation should be assigned to 3 number and no learner should complete the simulation,NA,"1. Create a simulation
2. Assign the simulation to 3 learners
3. Check the avg score card","1. Admin / content publisher should be able to create a simulation
2. User should be able to assign 3 learners to the silumation
3. If no user has completed the call, the avg score card should display as NA with no sub text as no learners has completed",When no learners have completed the call or not started the call the avg score card should display as NA with no sub text as no learners has completed,
HeySales Studio> Simulations Reports,TC0010_Check the avg score card when one learner has completed the simulation,arjun@paperflite.com,Validate The card should display the score of the learner [eg: 75] and the sub text should be X% across X attempts completed,Manual,Medium,Functional,Complete the simulation as User A,NA,"1. Login as a learner A
2. Open My courses
3. Start the simulation and complete
4. Now Login as admin
5. Check the completion card in admin view","1. User should be able to login successfully
2. User should be able to open My courses in hey sales and locate the assigned simulation
3. User should be able to start the simulation and successfully complete it with respective score
4. Admin user should be able to login successfully
5. In the avg score card, the percenatge should be X% and and the sub text should read across x attempts completed",The card displays the score of the learner [eg: 75] and the sub text is X% across x attempts completed [eg: 75% across 1 attempts completed],
