Sprint Name,Test Case Title,Test Assignee,Description,Mode,Priority,Type,Precondition,Test Data,Steps,Expected Result,Actual Result,Tags
HeySales Studio> Profile extraction,TC0001_Check creating a simulation,arjun@paperflite.com,Validate Admins should be able to create simulation successfully,Manual,Medium,Functional,User should have admin or Content publisher role,NA,"1. Login to the app
2. Navigate to hey sales
3. Create a simulation","1. Admin should be able to login 
2. Hey sales module should render
3. Admin should be able to create a simulation from scratch",Admins are able to create simulation successfully,
HeySales Studio> Profile extraction,"TC0002_ Check the ""add source"" button in scenario screen",arjun@paperflite.com,"Validate In the scenario screen there should be an ""add source"" button available",Manual,Medium,Functional,Create a simulation,NA,"1. Create a simulation
2. Navigate to scenario screen","1. Admin should be able to create a simulation
2. In the scenario screen there should be an ""add source"" button available","In the scenario screen there is an ""add source"" button available",
HeySales Studio> Profile extraction,"TC0003_ Click on the ""add source"" button",arjun@paperflite.com,Validate Clicking on the add source button should bring the Call recording slider,Manual,Medium,Functional,Create a simulation,NA,"1. Create a simulation
2. Navigate to scenario screen
3. Click on ""add source"" button","1. Admin should be able to create a simulation
2. In the scenario screen there should be an ""add source"" button available
3. Clicking on the add source button should bring the Call recording slider",Clicking on the add source button brings the Call recording slider,
HeySales Studio> Profile extraction,TC0004_ Check the UI of call recording slider [no calls uploaded],arjun@paperflite.com,Validate In the call recording slider if no calls have been uploaded an empty message should be displayed,Manual,Medium,Functional,Create a simulation,NA,"1. Create a simulation
2. Navigate to scenario screen
3. Click on ""add source"" button","1. Admin should be able to create a simulation
2. In the scenario screen there should be an ""add source"" button available
3. In the call recording slider if no calls have been uploaded an empty message should be displayed",In the call recording slider if no calls have been uploaded an empty message is displayed,
HeySales Studio> Profile extraction,TC0005_ Check the UI of the call recording slider,arjun@paperflite.com,"Validate In the call recording slider there should be upload new call button, list of all the uploded calls, add and cancel button",Manual,Medium,Functional,Create a simulation,NA,"1. Create a simulation
2. Navigate to scenario screen
3. Click on ""add source"" button
4. Check the UI","1. Admin should be able to create a simulation
2. In the scenario screen there should be an ""add source"" button available
3. In the call recording slider if no calls have been uploaded an empty message should be displayed
4. In the call recording slider there should be upload new call button, list of all the uploded calls, add and cancel button","In the call recording slider there are upload new call button, list of all the uploded calls, add and cancel button",
HeySales Studio> Profile extraction,"TC0006_ Click on the ""upload new call"" button in the call recording slider",arjun@paperflite.com,"Validate clicking on the ""upload new call""  should open the local file upload ",Manual,Medium,Functional,Create a simulation,NA,"1. Create a simulation
2. Navigate to scenario screen
3. Click on ""add source"" button
4. Click on ""upload new call""","1. Admin should be able to create a simulation
2. In the scenario screen there should be an ""add source"" button available
3. In the call recording slider if no calls have been uploaded an empty message should be displayed
4.Clicking on the ""upload new call""  should open the local file upload ","Clicking on the ""upload new call""  opens the local file upload ",
HeySales Studio> Profile extraction,TC0007_ Check uploading a video from local,arjun@paperflite.com,Validate User should be able to upload only MP4 and MP3 from local device,Manual,Medium,Functional,Create a simulation,NA,"1. Create a simulation
2. Navigate to scenario screen
3. Click on ""add source"" button
4. Click on ""upload new call""","1. Admin should be able to create a simulation
2. In the scenario screen there should be an ""add source"" button available
3. In the call recording slider if no calls have been uploaded an empty message should be displayed
4.User should be able to upload only MP4 and MP3 from local device",User is able to upload only MP4 and MP3 from local device,
HeySales Studio> Profile extraction,TC0008_ Check the add source button after uploading a video,arjun@paperflite.com,Validate After uploading a video the add souce button should update as generate,Manual,Medium,Functional,Create a simulation,NA,"1. Upload a video from local
2. Check the add source button","1. User should be able to upload video from local
2. After uploading a video the add souce button should update as generate",After uploading a video the add souce button updates to generate,
HeySales Studio> Profile extraction,TC0009_ Click on the generate button,arjun@paperflite.com,Validate Clicking on the generate should start the extraction process,Manual,Medium,Functional,Create a simulation,NA,"1. Upload a video from local
2. Click on generate","1. User should be able to upload video from local
2. Clicking on the generate should start the extraction process",Clicking on the generate starts the extraction process,
HeySales Studio> Profile extraction,TC0010_ Check the placeholder message during extraction,arjun@paperflite.com,"Validate While extraction ""transcribing the call recording"" placeholder message should be displayed",Manual,Medium,Functional,Create a simulation,NA,"1. Upload a video from local
2. Click on generate","1. User should be able to upload video from local
2. While extraction ""transcribing the call recording"" placeholder message should be displayed","While extraction ""transcribing the call recording"" placeholder message is displayed",
