Sprint Name,Test Case Title,Test Assignee,Description,Mode,Priority,Type,Precondition,Test Data,Steps,Expected Result,Actual Result,Tags
HeySales ManageCourses> Course Reports,TC0001_Check the completion rate card in the Course,arjun@paperflite.com,"Validate For admins and content publishers the completion card should be displayed in the top right of the Course, and the completion percentage should be calculated based on total number of learners assigned versus total number learners completed the Course",Manual,Medium,Functional,The Course should be assigned to x number of learners,NA,"1. Log in as admin / Content publisher
2. Navigate to Hey sales module
3. Open any Course
4. Check the Completion rate card","1. User should be able to login in successfully
2. Hey sales module should render successfully
3. User should be able to open / create any Course
4. The completion rate card should be displayed with respection percentage","For admins and content publishers the completion card is displayed in the top right of the Course, and the completion percentage is calculated based on total number of learners assigned versus total number learners completed the Course",
HeySales ManageCourses> Course Reports,TC0002_Check the completion rate card if the completion is 0%,arjun@paperflite.com,Validate When no learners have completed the course or not started the course the percentage should be 0 and the sub text should be 0 out of x number of learners have completed,Manual,Medium,Functional,The Course should be assigned to 10 number of learners and no learner should complete,NA,"1. Create a Course
2. Assign the Course to 10 learners
3. Check the completion rate card","1. Admin / content publisher should be able to create a Course
2. User should be able to assign 10 learners to the silumation
3. If no user has completed the course, on the completion card the percentage should be 0 and the sub text should read 0 of 10 learners have completed",When no learners have completed the course or not started the course the percentage is 0 and the sub text is 0 out of x number of learners have completed,
HeySales ManageCourses> Course Reports,TC0003_Check the completion rate card if the completion is X%,arjun@paperflite.com,"Validate When a certain number of learners have complete the course [eg: 2 learners], the percentage should be updated respectively. And the sub text should read X out of x number of learners have completed",Manual,Medium,Functional,The Course should be assigned to 10 learners and 2 learner should complete the course,Use the same course used in TC0002,"1. Login as a learner A
2. Open My courses
3. Start the Course and complete
4. Repate the same for Learner B
5. Now Login as admin
6. Check the completion card in admin view","1. User should be able to login successfully
2. User should be able to open My courses in hey sales and locate the assigned Course
3. User should be able to start the Course and successfully complete it with respective score
4. User should be able to login as Learner B and should be able to start a course and successfully complete it
5. Admin user should be able to login successfully
6. In the completion card, the percenatge should be 20% and and the sub text should read 2 of 10 learners have completed","When a certain number of learners have complete the course [eg: 2 learners], the percentage is updated respectively. And the sub text reads X out of x number of learners have completed",
HeySales ManageCourses> Course Reports,TC0004_Check adding new learner to the Course and validate the count updation in sub text of the completion rate card,arjun@paperflite.com,"Validate When new list of learners are added to the Course or new learners enrolled themselves , the count of the learner and the percentage in the sub text should be updated respectively",Manual,Medium,Functional,The Course should be assigned to 10 learners and add 2 new learner,Use the same course used in TC0002,"1. Open a Course with 10 assigned learners / Enroll as 2 learners
2. Check the completion card 
3. Assign 2 new learners
4. Check the completion card","1. User should be able to open the Course
2. In the completion card number of total number learners count should be 10 and the completion rate should be X
3. User should be able to assign 2 new learners to the Course
4. In the completion card number of total number learners count should be 12 and the completion rate should be updated respectively","When new list of learners are added to the Course or new learners enrolled themselves , the count of the learner and the percentage in the sub text is updated respectively",
HeySales ManageCourses> Course Reports,TC0005_Check the completion rate card in a newly created Course with no completion and no users assigned,arjun@paperflite.com,"Valdiate For a newly created Course with no completion and no users assigned, the completion rate card should display 0% and subtext as 0 of 0 learners have completed",Manual,Medium,Functional,A new course with 0 learners assigned,NA,"1. Log in as admin / Content publisher
2. Navigate to Hey sales module
3. Create a Course
4. Check the Completion rate card","1. User should be able to login in successfully
2. Hey sales module should render successfully
3. User should be able to create a Course
4. The completion rate card should be displayed 0% and sub text as 0 of 0 learners have completed","For a newly created Course with no completion and no users assigned, the completion rate card displays 0% and subtext as 0 of 0 learners have completed",
HeySales ManageCourses> Course Reports,TC0006_ Check the completion rate card by assigning to a user group,arjun@paperflite.com,Validate All the users in a group should be accounted in the completion card,Manual,Medium,Functional,A new course assign to a user group with 3 users,NA,"1. Create a Course
2. Assign the Course to a user group
3. Check the completion rate card","1. Admin / content publisher should be able to create a Course
2. User should be able to assign the course to a user gorup
3. All the users in a group should be accounted in the completion card",All the users in a group are accounted in the completion card,
HeySales ManageCourses> Course Reports,TC0007_Check the UI of the completion rate card,arjun@paperflite.com,Validate The UI and Font should follow the design and the percentage should be in primary color,Manual,Medium,Functional,The Course should be assigned to x number of learners and completed by x number of learners,NA,"1. Log in as admin / Content publisher
2. Navigate to Hey sales module
3. Open any Course
4. Check the Completion rate card","1. User should be able to login in successfully
2. Hey sales module should render successfully
3. User should be able to open any Course
4. The UI and Font should follow the design and the percentage should be in primary color",The UI and Font follows the design and the percentage is in primary color,
HeySales ManageCourses> Course Reports,TC0008_Check the pass % card in the Course,arjun@paperflite.com,"Validate For admins and content publishers the pass % card should be displayed in the top right of the Course, and the pass % should be calculated based on total number of learners passed versus total number learners completed the Course",Manual,Medium,Functional,The Course should be assigned to x number of learners,Pass % is 50,"1. Create a course
2. Set the pass % as 50
3. Assign it to 5 users","1. User should be able create a course
2. User should be able to set the pass percentage as 50 %
3. User should be able to assign the course to 5 learners","For admins and content publishers the pass % card is displayed in the top right of the Course, and the pass % is calculated based on total number of learners passed versus total number learners completed the Course",
HeySales ManageCourses> Course Reports,TC0009_ Check the pass % card when 2 learners have passed the course and 3 learners have not started the course,arjun@paperflite.com,Validate The pass % card should be 100% with sub text as 2 of 2 learnes have passed the course should be displayed. [Note: The not started learners should not be accounted in the calculation],Manual,Medium,Functional,The Course should be assigned to x number of learners,Pass % is 50,"1. Login a Learner A
2. Complete the course with more than 50%
3. Login a Learner B
4. Complete the course with more than 50%
5. Login as admin
6. Check the Pass % card","1. Learner A should be able to login 
2. Learner A should complete the course with more than 50%
3. Learner B should be able to login 
4. Learner B should complete the course with more than 50%
5. Admin should be able to login
6. The pass % card should be 100% with sub text as 2 of 2 learnes have passed the course should be displayed. [Note: The not started learners should not be accounted in the calculation]",The pass % card 100% with sub text as 2 of 2 learnes have passed the course is displayed. [Note: The not started learners are not accounted in the calculation],
HeySales ManageCourses> Course Reports,"TC0010_ Check the pass % card when 2 learners have passed the course, 2 learners hace failed the course and 1 learners have not started the course",arjun@paperflite.com,Validate The pass % card should be 50% with sub text as 2 of 4 learnes have passed the course should be displayed. [Note: The not started learners should not be accounted in the calculation],Manual,Medium,Functional,The Course should be assigned to x number of learners,Use the same course used in TC0009,"1. Login a Learner C
2. Complete the course with less than 50%
3. Login a Learner D
4. Complete the course with less than 50%
5. Login as admin
6. Check the Pass % card","1. Learner C should be able to login 
2. Learner C should complete the course with less than 50%
3. Learner D should be able to login 
4. Learner D should complete the course with less than 50%
5. Admin should be able to login
6. The pass % card should be 50% with sub text as 2 of 4 learnes have passed the course should be displayed. [Note: The not started learners should not be accounted in the calculation]",The pass % card 50% with sub text as 2 of 4 learnes have passed the course is displayed. [Note: The not started learners are not accounted in the calculation],
