Sprint Name,Test Case Title,Test Assignee,Description,Mode,Priority,Type,Precondition,Test Data,Steps,Expected Result,Actual Result,Tags
HeySales Let's Learn> Microlearning,TC0001_ Check the let's learn module in hey sales nav bar,arjun@paperflite.com,Validate There should be a new module Let's learn in heysales nav bar for every user in the account irrespective of the User role,Manual,Medium,Functional,Hey sales should be enabled for the account,NA,"1. Log in as admin / Content publisher
2. Navigate to Hey sales
3. Login as Normal user / BI Analyst
4. Navigate to Hey sales","1. User should be able to login in successfully
2. There should be a new module Let's learn in heysales nav bar for every user in the account irrespective of the User role 
3. User should be able to login in successfully
4. There should be a new module Let's learn in heysales nav bar for every user in the account irrespective of the User role ",There is a new module Let's learn in heysales nav bar for every user in the account irrespective of the User role ,
HeySales Let's Learn> Microlearning,TC0002_ Check the UI of the Let's learn landing page,arjun@paperflite.com,"Validate On the top left module name should be displayed, an input field with add button should be displayed",Manual,Medium,Functional,Hey sales should be enabled for the account,NA,"1. Click on Let's learn module
2. Check the UI of the landing page","1. User should be landed in the Let's learn landing page
2. On the top left module name should be displayed, an input field with add button should be displayed","On the top left module name is displayed, an input field with add button is displayed",
HeySales Let's Learn> Microlearning,TC0003_ Check the Input field in the let's learn module,arjun@paperflite.com,Valdiate User should be able to add any alpha numeric and Spl character in the input field,Manual,Medium,Functional,Hey sales should be enabled for the account,NA,"1. Add any alpha numeric in the input field
2. Add any spl character in the input field
3. Check the max character limit of the input filed","1. User should be able to add any alphanumeric to the input field
2. User should be able to add any spl character to the input field
3. Yet to confirm with the product",User is able to add any alpha numeric and Spl character in the input field,
HeySales Let's Learn> Microlearning,TC0004_ Check the add buton in the input field,arjun@paperflite.com,Validate Clicking on the Add button should bring the add asset slider,Manual,Medium,Functional,Hey sales should be enabled for the account,NA,"1. Click on Let's learn module
2. Click on the Add button","1. User should be landed in the Let's learn landing page
2. Clicking on the Add button should bring the add asset slider",Clicking on the Add button brings the add asset slider,
HeySales Let's Learn> Microlearning,TC0005_ Check adding assets to the learning,arjun@paperflite.com,"Validate User should be able to add Paged assets [PDF, DOC, & PPT's] and link assets [URL's, CS assets]",Manual,Medium,Functional,Hey sales should be enabled for the account,NA,"1. Click on the Add button
2. Add Paged assets [PDF, DOC, PPT] from Stream & Collections
3. Add URL assets from Stream & Collections
4. Add Video /audio / Image / Scrom / HTML / from stream and collections
5. Add paged assets [PDF, DOC, PPT] from persoal drive
6. Add Video /audio / Image / Scrom / HTML / from personal drive
7. Add CS assets
8. Add URL assets via add content URL","1. Add assets slider should be displaed with Stream & Collection, Personal Drive, URL, & CS if cleverstory is integrated
2. User should be able to add paged assets [PDF, DOC, PPT] from streams and collections
3. User should be able to add URL assets from streams and collections
4. User should not be able to add any non paged assets from streams and collections
5. User should be able to add paged assets [PDF, DOC, PPT] from personal drive
6. User should not be able to add any non paged assets from personal drive
7. If the cs integration is active, user should be able to add cs storyboards as link assets
8. User should be able to add URL's. via add content URL","User is able to add Paged assets [PDF, DOC, & PPT's] and link assets [URL's, CS assets]",
HeySales Let's Learn> Microlearning,TC0006_ Check the max asset upload,arjun@paperflite.com,Validate User should not be able to upload more than 5 assets to a learning,Manual,Medium,Functional,Hey sales should be enabled for the account,NA,"1. Click on the Add button
2. Add 7 assets from streams and collections
3. Click on confirm
4. Add 6 assets from personal drive
5. Click on confirm
6. Add 8 URL's via add content URL
7. Click on confirm","1. Add assets slider should be displaed
2. User should be able to choose 7 assets from streams and collections
3. On confirm an error message should be displayed
4. User should be able to add 6 assets from personal drive
5. On confirm an error message should be displayed
6. User should be able to add 8 URL's via add content URL
7. On confirm an error message should be displayed",User is not able to upload more than 5 assets to a learning,
HeySales Let's Learn> Microlearning,TC0007_ Check the UI of the input field after assets are added,arjun@paperflite.com,Valdiate In the input field all the added assets should be displayed with their thumbnail,Manual,Medium,Functional,Hey sales should be enabled for the account,NA,"1. Click on the Add button
2. Add assets 
3. Check the UI","1. Add assets slider should be displaed
2. User should be able to add asset
3. In the input field all the added assets should be displayed with their thumbnail",In the input field all the added assets are displayed with their thumbnail,
HeySales Let's Learn> Microlearning,TC0008_ Check removing the added assets,arjun@paperflite.com,"Validate On hovering the assets in the input filed, user should be able to remove the added asset",Manual,Medium,Functional,Hey sales should be enabled for the account,NA,"1. Click on the Add button
2. Add assets 
3. Hover over the asset
4. Click on the x icon on the asset","1. Add assets slider should be displaed
2. User should be able to add asset
3. On hovering the asset the remove icon [x] should be displayed
4. On hovering the assets in the input filed, user should be able to remove the added asset","On hovering the assets in the input filed, user is able to remove the added asset",
HeySales Let's Learn> Microlearning,TC0009_ Check creating an article ,arjun@paperflite.com,"Valdiate After adding the assets, User should be able to input a valid prompt and generate an article",Manual,Medium,Functional,Hey sales should be enabled for the account,Create me a learning out of these documents,"1. Click on the Add button
2. Add assets 
3. Add a valid prompt
4. Click on enter","1. Add assets slider should be displaed
2. User should be able to add asset
3. User should be able to add a valid prompt
4. After adding the assets, User should be able to input a valid prompt and generate an article","After adding the assets, User is able to input a valid prompt and generate an article",
HeySales Let's Learn> Microlearning,TC0010_ Check creating an article without adding any assets,arjun@paperflite.com,Valdiate When user tries to create an article without inputing any asset an error should be displayed,Manual,Medium,Functional,Hey sales should be enabled for the account,How do I position paperflite against Highspot,"1. Click on Let's learn module
2. Do not add any asset
3. Enter an valid prompt","1. User should be landed in the Let's learn landing page
2. User should not add any asset
3. When user tries to create an article without inputing any asset an error should be displayed",When user tries to create an article without inputing any asset an error is displayed,
HeySales Let's Learn> Microlearning,TC0011_ Check creating an article with an invalid prompt,arjun@paperflite.com,Valdiate When user tries to create an article with invalid prompt an error should be displayed,Manual,Medium,Functional,Hey sales should be enabled for the account,"QWET%^&*()) _+{}:""?>< NBMBJH %&% FDG","1. Click on the Add button
2. Add assets 
3. Add a valid prompt
4. Click on enter","1. Add assets slider should be displaed
2. User should be able to add asset
3. User should be able to add a valid prompt
4. When user tries to create an article with invalid prompt an error should be displayed",When user tries to create an article with invalid prompt an error is displayed,
HeySales Let's Learn> Microlearning,TC0012_ Check adding 2 different prompts in the input,arjun@paperflite.com,"Validate When user adds 2 different prompt, Agent should understand and generate an article from the uploaded asset",Manual,Medium,Functional,Hey sales should be enabled for the account,"1. Create me a learning out of these documents
2. How do I position paperflite against Highspot","1. Click on the Add button
2. Add assets 
3. Add a valid prompt
4. Click on enter","1. Add assets slider should be displaed
2. User should be able to add asset
3. User should be able to add a valid prompt
4. When user adds 2 different prompt, Agent should understand and generate an article from the uploaded asset","When user adds 2 different prompt, Agent understands and generate an article from the uploaded asset",
HeySales Let's Learn> Microlearning,TC0013_ Check the UI of the article generation,arjun@paperflite.com,"Valdiate After adding assets and prompts the article generation should start, a loader with help text ""reading through the source material"" should be displayed",Manual,Medium,Functional,Hey sales should be enabled for the account,NA,"1. Click on the Add button
2. Add assets 
3. Add a valid prompt
4. Click on enter","1. Add assets slider should be displaed
2. User should be able to add asset
3. User should be able to add a valid prompt
4. After adding assets and prompts the article generation should start, a loader with help text ""reading through the source material"" should be displayed","After adding assets and prompts the article generation starts, a loader with help text ""reading through the source material"" is displayed",
HeySales Let's Learn> Microlearning,TC0014_ Check the generated article,arjun@paperflite.com,"Validate The generated article should have a Heading, Banner image [Optional], Content as text, Back button, Modify button, Source, and History button",Manual,Medium,Functional,Hey sales should be enabled for the account,NA,"1. Open a generated article
2. Check the UI of the artcle","1. User should be open any generated article
2. The generated article should have a Heading, Banner image [Optional], Content as text, Back button, Modify button, Source, and History button","The generated article has a Heading, Banner image [Optional], Content as text, Back button, Modify button, Source, and History button",
HeySales Let's Learn> Microlearning,TC0015_ Check scrolling through the article,arjun@paperflite.com,Validate user should be able to scroll through the article,Manual,Medium,Functional,Hey sales should be enabled for the account,NA,"1. Open a generated article
2. Scroll through the article","1. User should be open any generated article
2. User should be able to scroll through the article",User is able to scroll through the article,
HeySales Let's Learn> Microlearning,TC0016_ Check the scource tab in the article,arjun@paperflite.com,"Validate In the source tab, all the assets used to generate the article with their thumbnails and file type should be displayed",Manual,Medium,Functional,Hey sales should be enabled for the account,NA,"1. Open a generated article
2. Click on Source tab","1. User should be open any generated article
2. In the source tab, all the assets used to generate the article with their thumbnails and file type should be displayed","In the source tab, all the assets used to generate the article with their thumbnails and file type are displayed",
