Sprint Name,Test Case Title,Test Assignee,Description,Mode,Priority,Type,Precondition,Test data,Steps,Expected Result,Actual Result
HeySales Studio> Elevator pitch Learners view ,TC0001 - Verify published assigned simulation is displayed in My Courses with Start Call CTA,porsudar@paperflite.com,Validate that assigned and published Elevator Pitch simulation is visible in My Courses with Start Call button,Manual,High,UI,"1. Simulation is published
2. Simulation is assigned to learner",NA,"1. Login to HeySales as learner
2. Navigate to My Courses
3. Locate Elevator Pitch simulation","1.user should be logged in to heysales as learner
2.user should navigate to the Mycourses
3.On clicking assigned elevator pitch simulation, start call CTA shouldd be displayed",Published assigned simulation is displayed in My Courses with active “Start Call” CTA.
HeySales Studio> Elevator pitch Learners view ,TC0002 - Verify unassigned simulation appears in Explore with Enroll Call CTA,porsudar@paperflite.com,Validate that unassigned simulation is visible only in Explore with Enroll Call option,Manual,High,UI,Simulation is published but NOT assigned,NA,"1. Login as learner
2. Navigate to Explore
3. Search Elevator Pitch","1.user should be logged in to heysales as learner
2.user should navigate to the Explore
3.On clicking unassigned elevator pitch simulation, Enroll call CTA shouldd be displayed",Unassigned simulation is displayed in Explore section with “Enroll Call” CTA.
l,TC0003 - Verify UI elements in Elevator Pitch simulation detail page,porsudar@paperflite.com,"Validate Duration pill, Call Type, Creator Name, Profile Icon, Scenario and Audience description",Manual,High,UI,Simulation is published,NA,"1. Login as learner
2. Open simulation detail page ","1.learner should be logged in 
2.Check following items are displayed in the simulation UI after clicking Elevetor pitch simulation:
Title and banner along with start/Enroll call CTA 
Duration pill in seconds/Minutes
Simulation type 
Creator name and icon
Pitch Scenario details
Company Audience details 
Skills 
",All configured UI elements are displayed correctly in the simulation detail page.
HeySales Studio> Elevator pitch Learners view ,TC0004 - Verify browser permission prompt appears on clicking Start Call,porsudar@paperflite.com,Validate that microphone (audio) or microphone & camera (video) permission popup is triggered when user clicks Start Call,Manual,Medium,Functional,"1. Simulation is enrolled
2. Browser permissions not previously granted",NA,"1. Login as learner
2. Navigate to My Courses
3. Open Elevator Pitch simulation
4. Click “Start Call”","1.Learner should be logged in
2.Learner should navigate to the Mycourses
3.Learner should open the assigned Simulation
4.On clicking start call, Browser permission prompt is displayed ",Browser permission prompt appears when Start Call is clicked.
HeySales Studio> Elevator pitch Learners view ,TC0005 - Verify countdown starts only after granting permissions,porsudar@paperflite.com,Validate 3–2–1 countdown appears only after mic/camera permission,Manual,Medium,Functional,"1. Simulation is enrolled
2. Browser permissions not previously granted",NA,"1. Click Start Call
2. Allow permission","1.On clicking start call , browser permission prompt should be displayed
2.User should allow camera and microphone to proceed video simulation counttown resume ",Countdown starts only after camera and microphone permissions are granted.
HeySales Studio> Elevator pitch Learners view ,TC0006 - Verify Video recording screen UI after camera & mic permission is granted,porsudar@paperflite.com,Validate countdown screen and live video recording UI after permissions are allowed,Manual,Medium,Functional,"1. Simulation is published with video type 
2. Simulation is assigned to learner",NA,"1. Login as learner
2. Navigate to My Courses
3. Click Start Call
4. Allow camera & microphone permission
5.Check Count starts from 3 2 1 with black screen","1.Learner should be logged in
2.Learner should be navigated to mycourses
3.Learner should start the call
4.User should allow camera and Microphone permission in the permission prompt
5.Counttown should start with black screen after clicking Camera and Microphone permission along with timer, info  icon, restart icon,  End CTA and Name of the simulaion at the top of the screen",Video recording screen UI is displayed correctly after permissions are granted.
HeySales Studio> Elevator pitch Learners view ,TC0007 - Verify UI elements during active video pitch,porsudar@paperflite.com,"Validate timer, end button, info icon ,restart icon, and layout alignment during active video recording",Manual,Medium,UI,"1. Simulation is published with video type 
2. Simulation is assigned to learner",NA,"1. Start video pitch
2. Observe screen layout","1.Learner should start the video pitch after the countown starts
2.Check the screen layout after counttown completes
Name should be displayed along with the close icon
Video feed should be centered
Timer should decrement correctly
End button should be enabled
Restart icon should be enabled
Info icon should be displayed 
 ",All required UI elements are visible and functioning during active video pitch.
HeySales Studio> Elevator pitch Learners view ,TC0008 - Verify Audio recording screen UI after permission is granted,porsudar@paperflite.com,Validate countdown screen and audio recording UI elements after mic permission is allowed,Manual,Medium,Functional,"1. Simulation is published with Audio format
2. Simulation is assigned to learner",NA,"1. Login as learner
2. Navigate to My Courses
3. Click Start Call
4. Allow microphone permission
5.Check Count starts from 3 2 1 with avator","1.Learner should be logged in
2.Learner should be navigated to mycourses
3.Learner should start the call
4.User should allow Microphone permission in the permission prompt
5.Counttown should start with blank screen after clicking Microphone permission along with timer, info  icon, restart icon,  End CTA and Name of the simulaion at the top of the screen",Audio recording screen UI is displayed correctly after permission is granted.
HeySales Studio> Elevator pitch Learners view ,TC0009 - Verify UI elements during active audio pitch,porsudar@paperflite.com,"Validate timer, info icon ,end button, restart icon during audio recording",Manual,Medium,UI,"1. Simulation is published with Audio format
2. Simulation is assigned to learner",NA,"1. Start audio pitch
2. Observe screen layout","1.Learner should start the audio pitch after the countown starts
2.Check the screen layout after counttown completes
Name should be displayed along with the close icon
Avator should be centered
Timer should decrement correctly
End button should be enabled
Restart icon should be enabled
Info icon should be displayed 
 ",All required UI elements are visible and functioning during active audio pitch.
HeySales Studio> Elevator pitch Learners view ,TC0010 - Verify navigation on clicking info icon,porsudar@paperflite.com,Validate navigation on clicking info icon,Manual,Medium,Functional,"1. Simulation is published with Audio/video format
2. Simulation is assigned to learner",NA,"1. Start  pitch
2. click info icon
3.Click Top right Arrow icon","1.Leaner should start the pitch
2.On clicking info icon, user should be navgated to slider on the right side pane with details showing - Title: Call info along with arrow icon ,Pitch scenario and  Compmay audience , duration, call type
3.On clicking Top right arrow icon, user should be naviagted back to the same previous screen",Clicking info icon navigates to the correct information screen.
