Sprint Name,Test Case Title,Test Assignee,Description,Mode,Priority,Type,Precondition,Test Data,Steps,Expected Result,Actual Result,Tags
HeySales Studio> Podcast Enhancements - Audio type - Narrative,TC0001_ Check creating a new podcast,arjun@paperflite.com,Validate Admins and content publishers should be able to create a podcast,Manual,Medium,Functional,User should have admin or Content publisher permission,NA,"1. Log in as admin / content publisher
2. Navigate to hey sales module
3. Click on Studio tab
4. Click on Create Podcast Button","1. Admins should be able to login in successfully
2. Hey sales module should render successfully
3. Studio screen should render successfully
4. Clicking on the Create Podcast button, should create an empty podcast with Untitled podcast as name and empty banner","Clicking on the Create Podcast button, creates an empty podcast with Untitled podcast as name and empty banner",
HeySales Studio> Podcast Enhancements - Audio type - Narrative,TC0002_ Check the default audio experience for a newly created podcast,arjun@paperflite.com,"Validate For the newly created podcast the audio experience type should be ""conversational""",Manual,Medium,Functional,Admin or Content publisher should create a podcast,NA,"1. Click on Create Podcast Button
2. Check the type under the banner","1. Clicking on the Create Podcast button, should create an empty podcast with Untitled podcast as name and empty banner
2. For the newly created podcast the audio experience type should be ""conversational""","For the newly created podcast the audio experience type is ""conversational""",
HeySales Studio> Podcast Enhancements - Audio type - Narrative,TC0003_ Check uploading banner to the podcast,arjun@paperflite.com,"Validate Admins should be able to add banner to a podcast via Pexels, Default paperflites source, and upload from local",Manual,Medium,Functional,Admin or Content publisher should create a podcast,NA,"1. Click on Create Podcast Button
2. Click on the edit icon on the banner 
3. Upload a Paperflite image banner
4. Upload a Paperflite video banner
5. Upload a Pexel image banner
6. Upload a Pexel video banner
7. Upload an image from local
8. Upload a video from Loacl","1. Clicking on the Create Podcast button, should create an empty podcast with Untitled podcast as name and empty banner
2. Clicking on the edit icon on the banner should ""Choose Media"" slider
3. Admin should be able to select from the list of default images and confirm, the respective image should render as the podcast banner
4. Admin should be able to select from the list of default video and confirm, the respective video should render as the podcast banner
5. Admin should be able to select from the list of images from search result or the default onces and confirm, the respective image should render as the podcast banner
6. Admin should be able to select from the list of video from search result or the default onces and confirm, the respective video should render as the podcast banner
7. Clicking on Upload should open the local files, admin should be able to upload an image within 10mb and the respective image should render as the podcast banner
8. Clicking on Upload should open the local files, admin should be able to upload a video within 10mb and the respective video should render as the podcast banner","Admins are able to add banner to a podcast via Pexels, Default paperflites source, and upload from local",
HeySales Studio> Podcast Enhancements - Audio type - Narrative,TC0004_ Check cropping the banner of the podcast,arjun@paperflite.com,Validate Admins should be able to crop the image banner and the respective selection should render as the podcasts banner,Manual,Medium,Functional,Admin or Content publisher should create a podcast,NA,"1. Click on Create Podcast Button
2. Click on the edit icon on the banner 
3. Upload a Paperflite image banner and crop
4. Upload a Pexel image banner and crop
5. Upload an image from local and crop
6. Upload a video and try to crop","1. Clicking on the Create Podcast button, should create an empty podcast with Untitled podcast as name and empty banner
2. Clicking on the edit icon on the banner should ""Choose Media"" slider
3. After the image is choose from choose media screen, custimoze your banner slider should be displayed and admins should be able to crop the image, respective selection should render as the podcast banner
4. After the image is choose from choose media screen, custimoze your banner slider should be displayed and admins should be able to crop the image, respective selection should render as the podcast banner
5. After the image is choose from choose media screen, custimoze your banner slider should be displayed and admins should be able to crop the image, respective selection should render as the podcast banner
6. If a video banner is choosen, the crop option should be available ",Admins are able to crop the image banner and the respective selection should render as the podcasts banner,
HeySales Studio> Podcast Enhancements - Audio type - Narrative,TC0005_ Check positioning the podcast banner,arjun@paperflite.com,Valdiate Admins should be able to position the image and the respective selection should render as the podcasts banner,Manual,Medium,Functional,Admin or Content publisher should create a podcast,NA,"1. Click on Create Podcast Button
2. Click on the edit icon on the banner 
3. Upload a Paperflite image banner and position
4. Upload a Pexel image banner and position
5. Upload an image from local and position
6. Upload a video and try to position","1. Clicking on the Create Podcast button, should create an empty podcast with Untitled podcast as name and empty banner
2. Clicking on the edit icon on the banner should ""Choose Media"" slider
3. After the image is choose from choose media screen, custimoze your banner slider should be displayed and admins should be able to position the image, respective selection should render as the podcast banner
4. After the image is choose from choose media screen, custimoze your banner slider should be displayed and admins should be able to position the image, respective selection should render as the podcast banner
5. After the image is choose from choose media screen, custimoze your banner slider should be displayed and admins should be able to position the image, respective selection should render as the podcast banner
6. If a video banner is choosen, the position option should not be available ",Admins are able to position the image banner and the respective selection should render as the podcasts banner,
HeySales Studio> Podcast Enhancements - Audio type - Narrative,TC0006_ Check the podcast naming field,arjun@paperflite.com,Validate Admin should be able to add any alpha numeric and spl characters in the naming field,Manual,Medium,Functional,Admin or Content publisher should create a podcast,NA,"1. Click on Create Podcast Button
2. Add any character in the naming field","1. Clicking on the Create Podcast button, should create an empty podcast with Untitled podcast as name
2. Admin should be able to add any alpha numeric and spl characters in the naming field",Admin is able to add any alpha numeric and spl characters in the naming field,
HeySales Studio> Podcast Enhancements - Audio type - Narrative,TC0007_ Check the character limit in the naming field,arjun@paperflite.com,Valdiate The character limit of the naming field should be restricted to 200 character,Manual,Medium,Functional,Admin or Content publisher should create a podcast,NA,"1. Click on Create Podcast Button
2. Add any character in the naming field","1. Clicking on the Create Podcast button, should create an empty podcast with Untitled podcast as name
2. The character limit of the naming field should be restricted to 200 character",The character limit of the naming field is restricted to 200 character,
HeySales Studio> Podcast Enhancements - Audio type - Narrative,TC0008_ Check the UI of the newly created Podcast,arjun@paperflite.com,"Validate In an empty podcast, default banner, Help test with subtext, add asset button, add skill button, Add learners dropdown, add learner button, audio type, and cancel & exit button should be displayed",Manual,Medium,Functional,Admin or Content publisher should create a podcast,NA,1. Click on Create Podcast Button,"1. Clicking on the Create Podcast button, should create an empty podcast with Untitled podcast as name, default banner, and ""You need to add assets to kick off your podcast journey!"" help text, ""After uploading the source, you'll have the option to select the type of podcast & time."" sub text, Add asset button, add skill button, add learner button, and cancel & exit button should be dsiplayed","Clicking on the Create Podcast button, creates an empty podcast with Untitled podcast as name, default banner, and ""You need to add assets to kick off your podcast journey!"" help text, ""After uploading the source, you'll have the option to select the type of podcast & time."" sub text, Add asset button, add skill button, add learner button, and cancel & exit button are dsiplayed",
HeySales Studio> Podcast Enhancements - Audio type - Narrative,TC0009_ Check the add asset button,arjun@paperflite.com,Validate Clicking on the add asset button should bring the add asset slider,Manual,Medium,Functional,Admin or Content publisher should create a podcast,NA,"1. Click on Create Podcast Button
2. Click on the Add asset button","1. Clicking on the Create Podcast button, should create an empty podcast with Untitled podcast as name
2. Clicking on the add asset button should bring the add asset slider",Clicking on the add asset button brings the add asset slider,
HeySales Studio> Podcast Enhancements - Audio type - Narrative,TC0010_ Check adding asset to the podcast,arjun@paperflite.com,"Valdidate Admin should be able to add asset from streams & collections, Local device and URL",Manual,Medium,Functional,Admin or Content publisher should create a podcast,NA,"1. Click on Create Podcast Button
2. Click on the Add asset button
3. Add Assets","1. Clicking on the Create Podcast button, should create an empty podcast with Untitled podcast as name
2. Clicking on the add asset button should bring the add asset slider
3. Admin should be able to add asset from streams & collections, Local device and URL","Admin is able to add asset from streams & collections, Local device and URL",
