Sprint Name,Test Case Title,Test Assignee,Description,Mode,Priority,Type,Precondition,Test Data,Steps,Expected Result,Actual Result,Tags
HeySales ManageCourses> Podcast and Simulation in Courses,TC0001_ Check creating a new course,arjun@paperflite.com,Validate Admins / Content publishers should be able to create a course,Manual,Medium,Functional,"Hey sales should be enabled, User should have admin / content publisher access",NA,"1. Log in as Admin or Content publisher
2. Navigate to Manage course
3. Click on create new course","1. Admins / Content publishers should be able to login successfully
2. The system should allow navigation to “Manage Courses” and display the list of available learnings, and a create new course button should be displayed
3. Clicking on create new course button should create a new empty course",Admins / Content publishers are able to create a course,
HeySales ManageCourses> Podcast and Simulation in Courses,TC0002_Check the course structure of an empty course [Newly created],arjun@paperflite.com,Validate In course structure along with add new section button add unit button in primary color should be displayed,Manual,Medium,Functional,"Hey sales should be enabled, User should have admin / content publisher access",NA,"1. Navigate to Manage course
2. Click on create new course
3. Click on ""Create course structure"" in the empty course","1. The system should allow navigation to “Manage Courses” and display the list of available learnings, and a create new course button should be displayed
2. Clicking on create new course button should create a new empty course
4. In course structure along with add new section button add unit button in primary color should be displayed",In course structure along with add new section button add unit button in primary color is displayed,
HeySales ManageCourses> Podcast and Simulation in Courses,TC0003_ Check the new add unit button in course structure,arjun@paperflite.com,"Validate Clicking on add unit should bring the adding unit slider with 3 options Lessons, Assessments and pick from studio",Manual,Medium,Functional,"Hey sales should be enabled, User should have admin / content publisher access",NA,"1. Click on ""Create course structure"" in the empty course
2. Click on Add new unit","1. In course structure along with add new section button add unit button in primary color should be displayed
2. Clicking on add unit should bring the adding unit slider with 3 options Lessons, Assessments and pick from studio","Clicking on add unit brings the adding unit slider with 3 options Lessons, Assessments and pick from studio",
HeySales ManageCourses> Podcast and Simulation in Courses,TC0004_ Check clicking on Lessons option in the adding unit slider,arjun@paperflite.com,"Validate clicking on Lessons in the adding unit slider should bring the add asset slider with 3 options From streams & collections, Personal drive, Add content URl and Cleverstory if integration enabled in account",Manual,Medium,Functional,"Hey sales should be enabled, User should have admin / content publisher access",NA,"1. Click on Add new unit
2. Click on Lessons","1. Clicking on add unit should bring the adding unit slider with 3 options Lessons, Assessments and pick from studio
2. Clicking on Lessons in the adding unit slider should bring the add asset slider with 3 options From streams & collections, Personal drive, Add content URl and Cleverstory if integration enabled in account","Clicking on Lessons in the adding unit slider brings the add asset slider with 3 options From streams & collections, Personal drive, Add content URl and Cleverstory if integration enabled in account",
HeySales ManageCourses> Podcast and Simulation in Courses,TC0005_ Check adding lessons to the course,arjun@paperflite.com,"Validate User should be able to add lessons from streams & collections, Personal drive, and via URL's within a section and outside the sections",Manual,Medium,Functional,"Hey sales should be enabled, User should have admin / content publisher access",NA,"1. Add a section
2. Add lessons from streams inside the section
3. Add lessons from personal drive inside the section
4. Add lessons as URL's inside the section
5. Add lessons from streams outside the section
6. Add lessons from personal drive outside the section
7. Add lessons as URL's outside the section","1. User should be able to add a section to the course structure
2. User should be able to add lessons from streams inside a section
3. User should be able to add lessons from personal drive inside a section
4. User should be able to add lessons from URL's inside a section
5. User should be able to add lessons from streams outside a section
6. User should be able to add lessons from personal drive outside a section
7. User should be able to add lessons from URL's outside a section","User is able to add lessons from streams & collections, Personal drive, and via URL's within a section and outside the sections",
HeySales ManageCourses> Podcast and Simulation in Courses,TC0006_ Check adding assessments,arjun@paperflite.com,Validate user should be able to add assessments within a section and outside the section,Manual,Medium,Functional,"Hey sales should be enabled, User should have admin / content publisher access",NA,"1. Add a section
2. Click on Add new unit
3. Add an assessment inside the section
4. Click on add new unit
5. Add on assessment outside the section","1. User should be able to add a section to the course structure
2. Adding units slider should be displayed
3. User should be able to add assessment inside the section
4. Adding units slider should be displayed
5. User should be able to add assessment outside the section",User is be able to add assessments within a section and outside the section,
HeySales ManageCourses> Podcast and Simulation in Courses,TC0007_ Check the pick from studio option in the adding unit slider,arjun@paperflite.com,Validate Clicking on the pick from studio option in the unit slider should bring the library of published podcast and simulations in the account,Manual,Medium,Functional,"Hey sales should be enabled, User should have admin / content publisher access",NA,"1. Click on add new unit
2. Click on Pick from studio
3. Add podcast
4. Search for podcast
5. Search for draft podcast
6. Check for draft podcast in the library","1. Adding units slider should be displayed
2. Clicking on the pick from studio option in the unit slider should bring the library of published podcast and simulations in the account
3. User should be able to add multiple podcasts at a time, and all the selected podcast should be listed in a new pane
4. User should be able to search for the podcast, and respective results should be fetched
5. Draft podcast should not be fetched in the search results
6. Draft podcast should not be listed in the library",Clicking on the pick from studio option in the unit slider brings the library of published podcast and simulations in the account,
HeySales ManageCourses> Podcast and Simulation in Courses,TC0008_ Check the UI and metadata of the podcast in the add asset slider,arjun@paperflite.com,"Validate In the add slider the podcast banner, duration, and last updated date should be displayed",Manual,Medium,Functional,"Hey sales should be enabled, User should have admin / content publisher access",NA,"1. Click on add new unit
2. Click on Pick from studio
3. Check the UI and metadata of the podcast","1. Adding units slider should be displayed
2. Clicking on the pick from studio option in the unit slider should bring the library of published podcast and simulations in the account
3. In the add slider the podcast banner, duration, and last updated date should be displayed","In the add slider the podcast banner, duration, and last updated date are displayed",
HeySales ManageCourses> Podcast and Simulation in Courses,TC0009_ Check removing the added podcast from the add asset slider,arjun@paperflite.com,"Valdiate On hovering the added podast x should be displayed, and clicking on the x should remove the podcast from the add asset slider",Manual,Medium,Functional,"Hey sales should be enabled, User should have admin / content publisher access",NA,"1. Click on add new unit
2. Click on Pick from studio
3. Add podcast
4. Remove few added podcast","1. Adding units slider should be displayed
2. Clicking on the pick from studio option in the unit slider should bring the library of published podcast and simulations in the account
3. User should be able to add multiple podcasts at a time, and all the selected podcast should be listed in a new pane
4. On hovering the added podast x should be displayed, and clicking on the x should remove the podcast from the add asset slider","On hovering the added podast x is displayed, and clicking on the x remove the podcast from the add asset slider",
HeySales ManageCourses> Podcast and Simulation in Courses,TC0010_ Check the deleted podcasts in the pick from studio library,arjun@paperflite.com,Validate The deleted podcasts should not be listed in the pick from studio library,Manual,Medium,Functional,"Hey sales should be enabled, User should have admin / content publisher access",NA,"1. Navigate to studio
2. Open any podcast and delete it
3. Navigate to any course in manage course
4. Click on add unit and click pick from studio","1. User should be able to navigate to studio
2. User should be able to delete any published podcast
3. User should be able to open any course from manage course
4. The deleted podcasts should not be listed in the pick from studio library",The deleted podcasts are not listed in the pick from studio library,
