Sprint Name,Test Case Title,Test Assignee,Description,Mode,Priority,Type,Precondition,Test Data,Steps,Expected Result,Actual Result,Tags,
HeySales ManageCourses> AI Search Manage Courses,TC0001_ Check navigation to the Manage Course in hey sales module,arjun@paperflite.com,"Validated Users should be able to navigate to Hey sales, Manage course screen",Manual,Medium,Functional,Hey sales should be enabled for the account,NA,"1. Log in as a User
2. Navigate to hey sales module
3. Click on Manage Course tab","1. Admins should be able to login in successfully
2. Hey sales module should render successfully
3. Manage Courses screen should render successfully","Users is able to navigate to Hey sales, Manage course screen",,
HeySales ManageCourses> AI Search Manage Courses,TC0002_ Check searching a learning,arjun@paperflite.com,Valdiate User should be able to Search for any published learning and the results should be fetched,Manual,Medium,Functional,Search for a learning,NA,"1. Click on the search bar
2. Search for a published course
3. Search for a published podcast
4. Search for a published simulation","1. User should be able to click on the search bar, the cursor should be displayed in the search field
2. User sould be able to search for a published course and the results should be fetched
3. User sould be able to search for a published podcast and the results should be fetched
4. User sould be able to search for a published simulation and the results should be fetched",User is able to Search for any published learning and the results are fetched,,
HeySales ManageCourses> AI Search Manage Courses,TC0003_ Check searching an unpublished / draft learning,arjun@paperflite.com,Validate When user searchs for an unpublished or a draft learning no results should be fetched and an empty screen should be displayed,Manual,Medium,Functional,"Create a course, do not publish it",NA,"1. Create a course and do not publish it
2. Create a podcast and do not publish it
3. Create a Simulation and do not publish it
4. Search for the unpublished course
5. Search for the unpublished podcast
6. Search for the unpublished simulation","1. User should be able to create a course and not publish it
2. User should be able to create a podcast and not publish it
3. User should be able to create a simulation and not publish it
4. User sould be able to search for the unpublished course and the no results should be fetched with an empty screen
5. User sould be able to search for the unpublished podcast and the no results should be fetched with an empty screen
6. User sould be able to search for the unpublished simulation and the no results should be fetched with an empty screen",When user searchs for an unpublished or a draft learning no results are fetched and an empty screen is displayed,,
HeySales ManageCourses> AI Search Manage Courses,TC0004_ Check searching a Skill,arjun@paperflite.com,Valdiate User should be able to search for any assigned skill and the results should be fetched,Manual,Medium,Functional,"Create a course, podcast and a simulation. Assign the skill ""Test""",Test,"1. Create a course and assign a skill ""Test""
2. Create a podcast and assign a skill ""Test""
3. Create a Simulation and assign a skill ""Test""
4. Search with the skill name 'Test""","1. User should be able to create a course and assign the skill ""Test""
2. User should be able to create a podcast and assign the skill ""Test""
3. User should be able to create a simulation and assign the skill ""Test""
4. All learnings assigned with the skill ""Test""  should be fetched [Course, Podcast, and Simulations]","All learnings assigned with the skill ""Test""  are fetched [Course, Podcast, and Simulations]",,"Course: Error check for Course
Podcast: Regg due date Podcast
Simulation: Without org info"
HeySales ManageCourses> AI Search Manage Courses,TC0005_ Check searching a Skill which is not assigned in any learnings,arjun@paperflite.com,Valdiate User should be able to Search for any unassigned skill and the results should be fetched,Manual,Medium,Functional,"Create a new skill ""Random""",Random,"1. Navigate to settings create a new skill ""Random""
2. Create a course and assign a skill ""Test""
3. Create a podcast and assign a skill ""Test""
4. Create a Simulation and assign a skill ""Test""
5. Search for the skill ""Random""","1. User should be able to navigate to settings and create a new skill ""Random""
2. User should be able to create a course and assign the skill ""Test""
3. User should be able to create a podcast and assign the skill ""Test""
4. User should be able to create a simulation and assign the skill ""Test""
5. User should be able to search with the skill ""Random"", no results should be fetched with an empty screen","User is able to search with the skill ""Random"", no results are fetched with an empty screen",,"Course: Error check for Course
Podcast: Regg due date Podcast
Simulation: Without org info"
HeySales ManageCourses> AI Search Manage Courses,TC0006_ Check searching the description of a learning,arjun@paperflite.com,Valdiate User should be able to Search for any published learning with it's description and the results should be fetched,Manual,Medium,Functional,Search for a learning [Use a long description min of 200 characters],NA,"1. Click on the search bar
2. Search the description of a published course
3. Search the description of a published podcast
4. Search the description of a published simulation","1. User should be able to click on the search bar, the cursor should be displayed in the search field
2. User sould be able to search the description of a published course and the results should be fetched
3. User sould be able to search the description of a published podcast and the results should be fetched
4. User sould be able to search the description of a published simulation and the results should be fetched",User is able to Search for any published learning with it's description and the results are fetched,,
HeySales ManageCourses> AI Search Manage Courses,TC0007_ Check searching the description of a learning an unpublished / draft learning,arjun@paperflite.com,Validate When user searchs the description of an unpublished or a draft learning no results should be fetched and an empty screen should be displayed,Manual,Medium,Functional,"Create a course, do not publish it",NA,"1. Create a course add a description and do not publish it
2. Create a podcast add a description and do not publish it
3. Create a Simulation add a description and do not publish it
4. Search the description of the unpblished course
5. Search the description of the unpublished podcast
6. Search the description of the unpublished simulation","1. User should be able to create a course add description and not publish it
2. User should be able to create a podcast add description and not publish it
3. User should be able to create a simulation add description and not publish it
4. User sould be able to search the description of the unpblished course and the no results should be fetched with an empty screen
5. User sould be able to search the description of the unpblished Podcast and the no results should be fetched with an empty screen
6. User sould be able to search fthe description of the unpblished simulation and the no results should be fetched with an empty screen",When user searchs the description of an unpublished or a draft learning no results are fetched and an empty screen is displayed,,
HeySales ManageCourses> AI Search Manage Courses,"TC0008_ Check searching with Learning Type [Course, Podcast or Simulation]",arjun@paperflite.com,Valdiate User should be able to Search for any published learning by their Type,Manual,Medium,Functional,"Search for a learning with Type Course, Podcast or Simulations",NA,"1. Click on the search bar
2. Search with input as Course
3. Search with input as Podcast
4. Search with input as Simulation","1. User should be able to click on the search bar, the cursor should be displayed in the search field
2. Only the Published courses should be fetched
3. Only the Published podcasts should be fetched
4. Only the Published simulations should be fetched",User is able to Search for any published learning by their Type,,
HeySales ManageCourses> AI Search Manage Courses,"TC0009_ Check the search ranking based on Name,  Skill, Description, and Type weightage.",arjun@paperflite.com,Validate The search should follow Name > Skill > Description as the weightage,Manual,Medium,Functional,"Create 3 learnings 
1. Course with name ""Weightage""
2. Podcast with skill as ""Weightage""
3. Simulation with description that has ""Weightage"" in it",NA,"1. Create a course and name it as ""Weightage""
2. Create a podcast and assign a skill as ""Weightage""
3. Create a Simulation with ""Weightage"" a part in the description
4. Search with the keyword as ""Weightage""","1. User should be able to create a course and name it as ""Weightage""
2. User should be able to create a podcast and assign a skill as ""Weightage""
3. User should be able to create a simulation with ""Weightage"" a part in the description
4. All 3 learnings should be fetched and the order should be based on Name, Skill, and description [Course, Podcast and Simulation]",The search follows Name > Skill > Description as the weightage,,"Course: Atom and its weightage
Podcast: Welcome to paperflite
Simulation: PF for devops"
HeySales ManageCourses> AI Search Manage Courses,TC0010_ Check the search with only spaces.,arjun@paperflite.com,"Validate Search should not execute, or an appropriate prompt/message should be displayed shown.",Manual,Medium,Functional,Add 4 white space in the search field,NA,"1. Click on the search bar
2. Hit the space bar
3. Hit Enter","1. User should be able to click on the search bar, the cursor should be displayed in the search field
2. User should be able to input white space in the search field
3. Search should not execute, or an appropriate prompt/message should be displayed shown.","Search does not execute, or an appropriate prompt/message is shown.",,
