Sprint Name,Test Case Title,Module,Test Assignee,Description,Mode,Priority,Type,Precondition,Test Data,Steps,Expected Result,Actual Result
HeySales ManageCourses> Sections index within Courses,TC0001_Check creating a course,Manage Course,arjun@paperflite.com,Validate Admins / Content publishers should be able to create a course,Manual,Medium,Functional,"1. Log in to account
2. Navigate to hey sales
3. Click on Manage course
4. Click on create a new course",NA,"1. Log in as Admin or Content publisher
2. Navigate to Manage course
3. Click on create new course","1. Admins / Content publishers should be able to login successfully
2. The system should allow navigation to “Manage Courses” and display the list of available learnings, and a create new course button should be displayed
3. Clicking on create new course button should create a new empty course",Admins / Content publishers are able to create a course
HeySales ManageCourses> Sections index within Courses,TC0002_Check the course structure of an empty course [Newly created],Manage Course,arjun@paperflite.com,Validate In course structure along with add lesson and add assessment buttons add new section buttom in primary color should be displayed,Manual,Medium,Functional,"1. Navigate to hey sales
2. Click on Manage course
3. Click on create a new course
4. Click on ""create course structure""",NA,"1. Click on ""Create course structure"" in the empty course
2. Navigate to settings, Viewer settings
3. Change the primary color of the account
4. Navigate back to the empty course","1. In course structure along with add lesson and add assessment button, add new section button in primary color should be displayed
2. User should be able to navigat to settings, viewer settings
3. User should be able to change the primary color successfully
4. The Add lesson, add assessment, and add sections should reflect in the new primary color",In course structure along with add lesson and add assessment CTA's add new section CTA in primary color is displayed
HeySales ManageCourses> Sections index within Courses,TC0003_Check creating a section in course,Manage Course,arjun@paperflite.com,Validate Clicking on add new section should create a section with name as Untitled section and series number to it,Manual,Medium,Functional,"1. Click on Manage course
2. Click on create a new course
3. Click on ""create course structure""
4. Click on ""add new section""",NA,"1. Click on add a new section
2. Hover under the created section
3. Click on Add section button","1. Clicking on add new section should create a section with name as Untitled section and series number to it
2. Hovering under the created section should display add section icon
3. Clicking on add section should create a section with name as Untitled section and series number to it",Clicking on add new section creates a section with name as Untitled section and series number to it
HeySales ManageCourses> Sections index within Courses,TC0004_Check naming the section,Manage Course,arjun@paperflite.com,Validate User should be able to add any alpha numeric and spl chars in the section naming field,Manual,Medium,Functional,"1. Click on Manage course
2. Click on create a new course
3. Click on ""create course structure""
4. Click on ""add new section""",NA,1. Name the section,1. User should be able to add any alpha numeric and spl chars in the section naming field,User is able to add any alpha numeric and spl chars in the section naming field
HeySales ManageCourses> Sections index within Courses,TC0005_Check adding a long name in section naming field,Manage Course,arjun@paperflite.com,"Validate When user adds a long name in section naming field, the system should truncate the name and onhover tool tip should be displayed",Manual,Medium,Functional,"1. Click on Manage course
2. Click on create a new course
3. Click on ""create course structure""
4. Click on ""add new section""",NA,"1. Name the section 
2. Add a long name in the naming field","1. User should be able to add any alpha numeric and spl chars in the section naming field 
2. When user adds a long name in section naming field, the system should truncate the name and onhover tool tip should be displayed","When user adds a long name in section naming field, the system truncates the name and onhover tool tip is displayed"
HeySales ManageCourses> Sections index within Courses,TC0006_Check the description field of the section,Manage Course,arjun@paperflite.com,Validate User should be able to add any alpha numeric and spl chars in the section description field,Manual,Medium,Functional,"1. Click on Manage course
2. Click on create a new course
3. Click on ""create course structure""
4. Click on ""add new section""",NA,1. Add any description,1. User should be able to add any alpha numeric and spl chars in the section description field,User is able to add any alpha numeric and spl chars in the section description field
HeySales ManageCourses> Sections index within Courses,TC0007_Check the character limit of the description field ,Manage Course,arjun@paperflite.com,"Validate System should enforce a character limit for the description filed, and user should be able to scroll within the description field",Manual,Medium,Functional,"1. Click on Manage course
2. Click on create a new course
3. Click on ""create course structure""
4. Click on ""add new section""",NA,"1. Add any description
2. Add a long description. eg:1000 characters","1. User should be able to add any alpha numeric and spl chars in the section description field
2.System should enforce a character limit for the description filed, and user should be able to scroll within the description field","System enforces a character limit for the description filed, and user is able to scroll within the description field"
HeySales ManageCourses> Sections index within Courses,TC0008_Check renaming the section,Manage Course,arjun@paperflite.com,"Validate Clicking on the section name, cursor should be displayed and user should be able to rename the section",Manual,Medium,Functional,"1. Click on Manage course
2. Click on create a new course
3. Click on ""create course structure""
4. Click on ""add new section""",NA,"1. Name the section
2. Rename the section","1.User should be able to add any alpha numeric and spl chars in the section naming field
2.Clicking on the section name, cursor should be displayed and user should be able to rename the section","Clicking on the section name, cursor is displayed and user is able to rename the section"
HeySales ManageCourses> Sections index within Courses,TC0009_Check the UI after the section is added,Manage Course,arjun@paperflite.com,"Validate After adding a section only Add lesson and Add assessment button with placeholder images ""nothing added yet!"" should be displayed, add new section should not be displayed",Manual,Medium,Functional,"1. Click on Manage course
2. Click on create a new course
3. Click on ""create course structure""
4. Click on ""add new section""",NA,"1. Click on Add a section
2. Add a section and check the asset viewer screen","1. User should be able to add a new section successfully
2.After adding a section only Add lesson and Add assessment CTA with placeholder images should be displayed, add new section should not be displayed","After adding a section only Add lesson and Add assessment CTA with placeholder images is displayed, add new section is not displayed"
HeySales ManageCourses> Sections index within Courses,TC0010_Check adding lessons or assessments in a section,Manage Course,arjun@paperflite.com,Validate User should be able to add any number of assessment and lessons in a section and the scroll within the section should work as expected,Manual,Medium,Functional,"1. Click on Manage course
2. Click on create a new course
3. Click on ""create course structure""
4. Click on ""add new section""",NA,"1. Click on Add a section
2. Add lessons and assessments to a section","1. User should be able to add a new section successfully
2. User should be able to add any number of assessment and lessons in a section and the scroll within the section should work as expected",User is able to add any number of assessment and lessons in a section and the scroll within the section works as expected
