Sprint Name,Test Case Title,Test Assignee,Description,Mode,Priority,Type,Precondition,Test Data,Steps,Expected Result,Actual Result,Tags
HeySales Studio> Custom Scorecards 1,TC0001_Check the Scorecard option in settings,arjun@paperflite.com,"Validate In the heysales enabled account Under settings for Admins and Content publishers there should be a new option ""Scorecard""",Manual,Medium,Functional,"Hey sales should be enabled, and user should have Admin / Content publisher access",NA,"1. Log in as admin / Content publisher
2. Navigate to settings","1. User should be able to login in successfully
2. In the heysales enabled account Under settings for Admins and Content publishers there should be a new option ""Scorecard"" ","In the heysales enabled account Under settings for Admins and Content publishers there is a new option ""Scorecard"" ",
HeySales Studio> Custom Scorecards 1,TC0002_ Check the scorecard option in settings as a non admin user,arjun@paperflite.com,Validate In the heysales enabled account Under settings for Normal user and BI Analyst the scorecard option should not be available,Manual,Medium,Functional,"Hey sales should be enabled, and user should have Normal user / BI Analyst access",NA,"1. Log in as admin / Content publisher
2. Navigate to settings","1. User should be able to login in successfully
2. In the heysales enabled account Under settings for Normal user and BI Analyst the scorecard option should not be available",In the heysales enabled account Under settings for Normal user and BI Analyst the scorecard option is not available,
HeySales Studio> Custom Scorecards 1,TC0003_ Check the Scorecard option in settings in an account does not have heysales enabled,arjun@paperflite.com,"Validate If the heysales is not enabled, Under settings for for all the users the scorecard option should not be available",Manual,Medium,Functional,Hey sales should not bebe enabled,NA,"1. Log into the account
2. Navigate to settings","1. User should be able to login in successfully
2. If the heysales is not enabled, Under settings for for all the users the scorecard option should not be available","If the heysales is not enabled, Under settings for for all the users the scorecard option is not available",
HeySales Studio> Custom Scorecards 1,TC0004_ Check the UI of the Scorecard ,arjun@paperflite.com,"Validate In the scorecard screen, heading ""scorecard"" and a sub text, a default scorecard, a delete button, Rename button, clone button, and Create new scorecard button should be displayed.",Manual,Medium,Functional,"Hey sales should be enabled, and user should have Admin / Content publisher access",NA,"1. Log in as admin / Content publisher
2. Navigate to settings -> Scorecard","1. User should be able to login in successfully
2. In the scorecard screen, heading ""scorecard"" and a sub text, a default scorecard, a delete button, Rename button, clone button, and Create new scorecard button should be displayed.","In the scorecard screen, heading ""scorecard"" and a sub text, a default scorecard, a delete button, Rename button, clone button, and Create new scorecard button are displayed.",
HeySales Studio> Custom Scorecards 1,TC0005_ Check deleting the default scorecard,arjun@paperflite.com,"Valdiate User should not be able to delete the default scorecard, when user clicks on the delete button the default scorecard should not be available for selection",Manual,Medium,Functional,"Hey sales should be enabled, and user should have Admin / Content publisher access",NA,"1. Open the scorecard screen
2. Click on the delete button","1. User should be able to click on the scorecard screen, and the scorecard screen with the default scorecard should be displayed
2. User should not be able to delete the default scorecard, when user clicks on the delete button the default scorecard should not be available for selection","User is not able to delete the default scorecard, when user clicks on the delete button the default scorecard is not available for selection",
HeySales Studio> Custom Scorecards 1,TC0006_ Check the UI of the scorecard,arjun@paperflite.com,"Validate In the scorecard the card name, Active / draft, type of the card, default tag, Parameter count, sub-parameter count, and last updated date should be displayed",Manual,Medium,Functional,"Hey sales should be enabled, and user should have Admin / Content publisher access",NA,"1. Log into the account
2. Navigate to settings
3. Click on the Scorecard","1. User should be able to login in successfully
2. User should be able to navigate to the settings
3. In the scorecard the card name, Active / draft, type of the card, default tag, Parameter count, sub-parameter count, and last updated date should be displayed","In the scorecard the card name, Active / draft, type of the card, default tag, Parameter count, sub-parameter count, and last updated date are displayed",
HeySales Studio> Custom Scorecards 1,TC0007_ Check renaming the default scorecard,arjun@paperflite.com,"Valdiate User should not be able to rename the default scorecard, when user clicks on the rename button the default scorecard should not be available for selection",Manual,Medium,Functional,"Hey sales should be enabled, and user should have Admin / Content publisher access",NA,"1. Open the scorecard screen
2. Click on the rename button","1. User should be able to click on the scorecard screen, and the scorecard screen with the default scorecard should be displayed
2. User should not be able to rename the default scorecard, when user clicks on the rename button the default scorecard should not be available for selection","User is not able to rename the default scorecard, when user clicks on the rename button the default scorecard is not available for selection",
HeySales Studio> Custom Scorecards 1,TC0008_ Click on the Create new scorecard,arjun@paperflite.com,"Validate Clicking on the Create new scorecard, should bring the create new scorecard slider with name, description fields, create and cancel buttons",Manual,Medium,Functional,"Hey sales should be enabled, and user should have Admin / Content publisher access",NA,"1. Open the scorecard screen
2. Click on the create new scorecard button
3. Check the name input field
4. Check the description input field
5. Check the max character limit of name input field
6. Check the max character limit of description input field","1. User should be able to click on the scorecard screen, and the scorecard screen with the default scorecard should be displayed
2. Clicking on the Create new scorecard, should bring the create new scorecard slider with name, description fields, create and cancel buttons
3. User should be able to add any aplha numeric and Spl charater in the name input field
4. User should be able to add any aplha numeric and Spl charater in the description input field
5. Yet to confirm from product
6. Yet to confirm from product","Clicking on the Create new scorecard, bring the create new scorecard slider with name, description fields, create and cancel buttons",
HeySales Studio> Custom Scorecards 1,TC0009_ Check the UI of the scorecard creation screen,arjun@paperflite.com,"Validate In the scorecard creation screen, a back button with sub text, delete, discard, save, publish buttons, set as default toggle, type dropdown, parameter name input field, weightage input field, sub parameter with sub text, add sub parameter button, add parameter button, evaluate how well / if the rep input field, and an ideal rep should input field should be displayed",Manual,Medium,Functional,"Hey sales should be enabled, and user should have Admin / Content publisher access",NA,"1. Open the scorecard screen
2. Click on create new scorecard button","1. User should be able to click on the scorecard screen, and the scorecard screen with the default scorecard should be displayed
2. In the scorecard creation screen, a back button with sub text, delete, discard, save, publish buttons, set as default toggle, type dropdown, parameter name input field, weightage input field, sub parameter with sub text, add sub parameter button, add parameter button, evaluate how well / if the rep input field, and an ideal rep should input field should be displayed","In the scorecard creation screen, a back button with sub text, delete, discard, save, publish buttons, set as default toggle, type dropdown, parameter name input field, weightage input field, sub parameter with sub text, add sub parameter button, add parameter button, evaluate how well / if the rep input field, and an ideal rep should input field are displayed",
HeySales Studio> Custom Scorecards 1,TC0010_ Check the newly created parameter,arjun@paperflite.com,Validate When a card is created an Untitled parameter should be created,Manual,Medium,Functional,"Hey sales should be enabled, and user should have Admin / Content publisher access",NA,"1. Open the scorecard screen
2. Click on create new scorecard button","1. User should be able to click on the scorecard screen, and the scorecard screen with the default scorecard should be displayed
2. When a card is created an Untitled parameter should be created",When a card is created an Untitled parameter is created,
